image_id,source_path,split,n_candidates_raw,n_pupa_final,n_top_5pct,n_top,n_middle,n_bottom,top_y,bottom_y,upper_five_pct_y,upper_middle_y,lower_middle_y,mean_confidence,unresolved_clusters,blue_pixel_ratio,needs_review,review_reason,config_version,model_version,runtime_ms,detected_pupa_instances,synthetic_cluster_instances,vision_cluster_count_used,annotation_mode,trusted_confidence,trusted_line_upper_y,trusted_line_lower_y,trusted_dot_total,trusted_dot_top,trusted_dot_middle,trusted_dot_bottom,blue_line_component_count,blue_horizontal_candidate_count,blue_dot_component_count,raw_blue_dot_component_count,blue_component_count,blue_footer_component_count,dots_look_human_placed,trusted_line_span_px,image_height,image_width,trusted_upper_line_error_px,trusted_lower_line_error_px,trusted_middle_disagreement,trusted_total_disagreement
scan_20260313_10_4ffe35b016,/Users/stephenyu/Documents/New project/data/probe_inputs/all_20/Scan_20260313 (10).png,dev_annotated,98,79,1,6,48,25,413.64233576642334,1528.8024096385543,469.4003394600299,692.432354234456,1250.0123911705214,0.7229528923744784,2,0.012528170712438357,True,blue_trust_disagreement: Predicted middle-band count differs substantially from trusted blue annotation supervision.,baseline_v1,,1602.4966670000003,79,0,0,dot_count_with_lines,high,588.9143951254986,1495.5256658525625,85,5.0,76.0,4.0,1,2,85,85,132,6,True,906.6112707270639,2586,1116,103.51795910895748,245.51327468204113,28.0,6
scan_20260313_15_4177bdf423,/Users/stephenyu/Documents/New project/data/probe_inputs/all_20/Scan_20260313 (15).png,dev_annotated,234,128,4,15,96,17,245.44155844155844,1543.7454545454545,310.3567532467532,570.0175324675324,1219.1694805194804,0.6637687351081711,15,0.0139869493024197,True,unresolved_clusters: Merged cluster candidates could not be split cleanly. | blue_trust_disagreement: Predicted middle-band count differs substantially from trusted blue annotation supervision.,baseline_v1,,1616.7336669999997,128,0,0,dot_count_with_lines,high,546.1873093349603,1446.909090909091,57,5.0,46.0,6.0,1,3,57,57,155,31,True,900.7217815741307,2586,1116,23.830223132572087,227.73961038961056,50.0,71
scan_20260313_20_98783c8409,/Users/stephenyu/Documents/New project/data/probe_inputs/all_20/Scan_20260313 (20).png,dev_annotated,236,155,4,51,103,1,188.83660130718954,2036.0,281.19477124183004,650.6274509803922,1574.2091503267975,0.6730108560187045,8,0.018790733771164872,True,blue_trust_disagreement: Predicted middle-band count differs substantially from trusted blue annotation supervision.,baseline_v1,,1751.5073750000001,155,0,0,line_only,medium,333.94158674803833,1145.5003855050115,17,1.0,8.0,8.0,3,3,17,17,54,9,True,811.5587987569731,2584,1113,316.6858642323538,428.70876482178596,95.0,138
scan_20260313_22_74a4d07f84,/Users/stephenyu/Documents/New project/data/probe_inputs/all_20/Scan_20260313 (22).png,dev_annotated,149,123,1,8,108,7,118.0754716981132,1738.1347150259066,199.07843386450287,523.0902825300616,1333.1199041939583,0.6997455274973889,6,0.01590207264370875,True,blue_trust_disagreement: Predicted middle-band count differs substantially from trusted blue annotation supervision.,baseline_v1,,1749.733333,123,0,0,dot_count_with_lines,high,2.5,1225.081918081918,30,2.0,21.0,7.0,0,3,30,30,62,1,True,1222.581918081918,2586,1116,520.5902825300616,108.03798611204024,87.0,93
scan_20260313_25_db0b949a97,/Users/stephenyu/Documents/New project/data/probe_inputs/all_20/Scan_20260313 (25).png,dev_annotated,148,115,2,29,85,1,262.6454545454545,2001.0222222222221,349.5642929292929,697.2396464646464,1566.42803030303,0.6814028489173507,8,0.018859477694894204,True,blue_trust_disagreement: Predicted middle-band count differs substantially from trusted blue annotation supervision.,baseline_v1,,1782.294083,115,0,0,dot_count_with_lines,high,1.5,1219.9469153515065,23,1.0,21.0,1.0,4,4,23,23,58,11,True,1218.4469153515065,2586,1116,695.7396464646464,346.4811149515235,64.0,92
scan_20260313_3_ee99c0edbe,/Users/stephenyu/Documents/New project/data/probe_inputs/all_20/Scan_20260313 (3).png,dev_annotated,162,73,2,8,36,29,102.36686390532545,1223.986301369863,158.4478357785523,382.7717232714598,943.5814420037285,0.711031800977306,13,0.025153708831951477,True,unresolved_clusters: Merged cluster candidates could not be split cleanly. | high_blue_overlap: Blue annotation ratio is unusually high. | blue_trust_disagreement: Predicted middle-band count differs substantially from trusted blue annotation supervision.,baseline_v1,,2594.3193749999996,73,0,0,line_only,medium,439.606455563331,1272.0618427061133,5,3.0,2.0,0.0,3,2,5,5,26,2,True,832.4553871427823,2586,1116,56.834732291871205,328.4804007023848,34.0,68
scan_20260313_30_00abff364d,/Users/stephenyu/Documents/New project/data/probe_inputs/all_20/Scan_20260313 (30).png,dev_annotated,125,102,6,24,67,11,339.63235294117646,1373.9269005847952,391.34708032335743,598.2059898520812,1115.3532636738905,0.6758067278624661,0,0.01688463926142492,True,blue_trust_disagreement: Predicted middle-band count differs substantially from trusted blue annotation supervision.,baseline_v1,,1840.537792000001,102,0,0,sparse_blue,low,670.2355555555556,1184.3586592178772,15,9.0,5.0,1.0,1,3,15,15,26,3,True,514.1231036623216,2586,1115,72.02956570347442,69.00539554398665,62.0,87
scan_20260313_35_ebe7d93b13,/Users/stephenyu/Documents/New project/data/probe_inputs/all_20/Scan_20260313 (35).png,dev_annotated,114,97,1,21,72,4,204.81746031746033,1546.7752808988764,271.9153513465311,540.3069154628143,1211.2858257535224,0.6810697441372794,2,0.01683971037874189,True,blue_trust_disagreement: Predicted middle-band count differs substantially from trusted blue annotation supervision.,baseline_v1,,2019.8913750000002,97,0,0,dot_count_with_lines,high,550.1645338208409,1370.1873607333694,35,17.0,17.0,1.0,2,2,35,35,61,4,True,820.0228269125284,2586,1116,9.85761835802657,158.90153497984693,55.0,62
scan_20260313_40_8d28482601,/Users/stephenyu/Documents/New project/data/probe_inputs/all_20/Scan_20260313 (40).png,dev_annotated,68,61,5,15,37,9,52.833333333333336,1655.8409893992932,132.98371613663133,453.5852473498233,1255.0890753828032,0.7152692554410129,2,0.01318444782631595,True,blue_trust_disagreement: Predicted middle-band count differs substantially from trusted blue annotation supervision.,baseline_v1,,1623.0147079999995,61,0,0,line_only,medium,249.30804827021097,796.5419791461858,1,0.0,1.0,0.0,2,2,1,1,18,6,True,547.2339308759748,2586,1116,204.27719907961233,458.54709623661745,36.0,60
scan_20260313_50_f0d10ec8fd,/Users/stephenyu/Documents/New project/data/probe_inputs/all_20/Scan_20260313 (50).png,dev_annotated,160,109,1,21,87,1,141.75471698113208,1771.551724137931,223.24456733897202,549.2039687703318,1364.1024723487312,0.6708180437062704,6,0.014227769045896432,True,blue_trust_disagreement: Predicted middle-band count differs substantially from trusted blue annotation supervision.,baseline_v1,,1478.366042000001,109,0,0,dot_count_with_lines,high,682.968774395004,1788.6762069962417,69,10.0,59.0,0.0,1,2,69,69,123,16,True,1105.7074326012378,2586,1116,133.76480562467214,424.5737346475105,28.0,40
scan_20260313_55_bd48165bf6,/Users/stephenyu/Documents/New project/data/probe_inputs/all_20/Scan_20260313 (55).png,dev_annotated,115,82,5,17,48,17,318.14963503649636,1344.5076923076922,369.4675379000562,574.7391493542953,1087.9181779898931,0.7366724028718593,8,0.009819554978974184,False,,baseline_v1,,2263.657042000002,82,0,0,dot_count_only,medium,1261.9337772109689,,57,,,,0,1,57,57,99,5,True,,2586,1116,687.1946278566736,,,25
scan_20260313_60_4a0b45a293,/Users/stephenyu/Documents/New project/data/probe_inputs/all_20/Scan_20260313 (60).png,dev_annotated,169,108,7,26,75,7,127.09580838323353,1452.5443786982248,193.3682368989831,458.45795096198134,1121.182236119477,0.6634387645069064,14,0.023040732147460687,True,unresolved_clusters: Merged cluster candidates could not be split cleanly. | high_blue_overlap: Blue annotation ratio is unusually high. | blue_trust_disagreement: Predicted middle-band count differs substantially from trusted blue annotation supervision.,baseline_v1,,2264.388499999999,108,0,0,dot_count_with_lines,high,555.1410678971655,1387.8933585313175,61,2.0,55.0,4.0,1,3,61,61,103,10,True,832.752290634152,2586,1116,96.68311693518416,266.7111224118405,20.0,47
scan_20260313_65_1298255fc3,/Users/stephenyu/Documents/New project/data/probe_inputs/all_20/Scan_20260313 (65).png,dev_annotated,184,115,2,9,60,46,7.938775510204081,1149.0085959885387,64.99226653412082,293.20623062978774,863.741140868955,0.6497713769705423,8,0.011617560229191096,False,,baseline_v1,,2180.6804999999977,115,0,0,dot_count_only,medium,1029.0955518202957,,54,,,,1,1,54,54,103,7,True,,2586,1116,735.8893211905079,,,61
scan_20260313_7_78157780df,/Users/stephenyu/Documents/New project/data/probe_inputs/all_20/Scan_20260313 (7).png,dev_annotated,139,104,2,24,71,9,143.19354838709677,1563.7440476190477,214.22107334869432,498.3311731950845,1208.60642281106,0.7245986257222168,2,0.01605695958663551,True,blue_trust_disagreement: Predicted middle-band count differs substantially from trusted blue annotation supervision.,baseline_v1,,1902.6424580000025,104,0,0,dot_count_with_lines,high,482.53222348475737,1477.7884932685545,109,25.0,84.0,0.0,3,2,109,109,136,2,True,995.256269783797,2586,1116,15.798949710327122,269.18207045749455,13.0,5
scan_20260313_70_e00a2438c4,/Users/stephenyu/Documents/New project/data/probe_inputs/all_20/Scan_20260313 (70).png,dev_annotated,135,94,7,15,38,41,334.125,1175.3269961977187,376.18509980988597,544.4254990494296,965.0264971482891,0.7186206134419573,5,0.016207688490825982,True,blue_trust_disagreement: Predicted middle-band count differs substantially from trusted blue annotation supervision.,baseline_v1,,1786.3639580000026,94,0,0,dot_count_with_lines,high,449.58663943990666,1330.695089404414,78,2.0,76.0,0.0,2,2,78,78,96,1,True,881.1084499645073,2586,1116,94.83885960952296,365.66859225612484,38.0,16
scan_20260313_74_f670a25628,/Users/stephenyu/Documents/New project/data/probe_inputs/all_20/Scan_20260313 (74).png,dev_annotated,117,102,6,20,78,4,245.95530726256982,1640.6716417910447,315.6911239889936,594.6343908946885,1291.992558158926,0.70966026240975,0,0.015552797389860484,True,border_anchor: Top or bottom anchor touches the image border. | blue_trust_disagreement: Predicted middle-band count differs substantially from trusted blue annotation supervision.,baseline_v1,,1655.932,102,0,0,dot_count_with_lines,high,451.679592053543,1270.8334618697997,105,16.0,89.0,0.0,3,2,105,105,130,3,True,819.1538698162567,2586,1116,142.95479884114553,21.159096289126182,11.0,3
scan_20260313_8_456a88b709,/Users/stephenyu/Documents/New project/data/probe_inputs/all_20/Scan_20260313 (8).png,dev_annotated,163,124,2,4,98,22,54.6144578313253,1545.0391304347827,129.13569146149817,427.22062598218963,1172.4329622839184,0.7080133373459506,10,0.014090900270826923,True,blue_trust_disagreement: Predicted middle-band count differs substantially from trusted blue annotation supervision.,baseline_v1,,1776.2619999999956,124,0,0,dot_count_with_lines,high,640.7654867076221,1538.594345825115,127,14.0,112.0,1.0,2,2,127,127,163,7,True,897.8288591174928,2586,1116,213.5448607254325,366.1613835411965,14.0,3
scan_20260313_80_1fc7a87878,/Users/stephenyu/Documents/New project/data/probe_inputs/all_20/Scan_20260313 (80).png,dev_annotated,169,120,4,21,82,17,11.503937007874017,1756.853448275862,98.77141257127342,447.841314824871,1320.516070458865,0.6893467495490478,9,0.01521634275544911,True,blue_trust_disagreement: Predicted middle-band count differs substantially from trusted blue annotation supervision.,baseline_v1,,2269.336833000004,120,0,0,dot_count_with_lines,high,526.8885616102111,1633.7256450076882,72,4.0,67.0,1.0,4,4,72,72,109,8,True,1106.837083397477,2586,1116,79.04724678534012,313.2095745488232,15.0,48
scan_20260313_90_0181747d83,/Users/stephenyu/Documents/New project/data/probe_inputs/all_20/Scan_20260313 (90).png,dev_annotated,120,93,4,15,63,15,305.46280991735534,1179.050505050505,349.14219467401284,523.8597337006428,960.6535812672176,0.6731083456412107,2,0.01740867520522718,True,blue_trust_disagreement: Predicted middle-band count differs substantially from trusted blue annotation supervision.,baseline_v1,,1681.779750000004,93,0,0,line_only,medium,434.27367534978265,1305.9715933362945,11,7.0,3.0,1.0,3,3,11,11,34,1,True,871.6979179865118,2586,1115,89.58605835086013,345.3180120690769,60.0,82
scan_20260313_95_e122ab1950,/Users/stephenyu/Documents/New project/data/probe_inputs/all_20/Scan_20260313 (95).png,dev_annotated,152,116,7,30,66,20,275.79375,1627.0246913580247,343.35529706790123,613.6014853395061,1289.2169560185184,0.694739337697225,7,0.014645651938893462,True,blue_trust_disagreement: Predicted middle-band count differs substantially from trusted blue annotation supervision.,baseline_v1,,1676.7181660000006,116,0,0,dot_count_with_lines,high,544.8823599989805,1675.457238015939,107,21.0,82.0,4.0,3,2,107,107,173,8,True,1130.5748780169586,2586,1116,68.71912534052558,386.24028199742065,16.0,9
